N,density,threads,repeats,sample_id,gemm_time_s,spmm_time_s,nnz,bw_stream_GBs
1536,0.01,6,3,13,0.055754,0.001756,23271,27.377
1536,0.01,6,3,14,0.056365,0.001920,23271,27.377
1536,0.01,6,3,15,0.054901,0.001934,23271,27.377
1536,0.01,6,3,16,0.053069,0.001884,23271,27.377
1536,0.01,6,3,17,0.063505,0.001891,23271,27.377
1536,0.01,6,3,18,0.055120,0.001886,23271,27.377
1536,0.01,6,3,19,0.054931,0.001902,23271,27.377
1536,0.01,6,3,20,0.057064,0.001999,23271,27.377
1536,0.01,6,3,21,0.054678,0.001903,23271,27.377
1536,0.01,6,3,22,0.057776,0.001932,23271,27.377
1536,0.01,6,3,23,0.057229,0.002131,23271,27.377
1536,0.01,6,3,24,0.053133,0.001979,23271,27.377
1536,0.01,6,3,25,0.056290,0.002127,23271,27.377
1792,0.01,6,3,1,0.086974,0.002772,31857,27.377
1792,0.01,6,3,2,0.085118,0.002686,31857,27.377
1792,0.01,6,3,3,0.086074,0.002809,31857,27.377
1792,0.01,6,3,4,0.080791,0.002675,31857,27.377
1792,0.01,6,3,5,0.086974,0.002684,31857,27.377
1792,0.01,6,3,6,0.087800,0.003291,31857,27.377
1792,0.01,6,3,7,0.082510,0.002695,31857,27.377
1792,0.01,6,3,8,0.083942,0.002837,31857,27.377
1792,0.01,6,3,9,0.087620,0.002856,31857,27.377
1792,0.01,6,3,10,0.084176,0.002564,31857,27.377
1792,0.01,6,3,11,0.087715,0.002675,31857,27.377
1792,0.01,6,3,12,0.085369,0.002681,31857,27.377
1792,0.01,6,3,13,0.087045,0.003050,31857,27.377
1792,0.01,6,3,14,0.086669,0.002544,31857,27.377
1792,0.01,6,3,15,0.088835,0.002739,31857,27.377
1792,0.01,6,3,16,0.085789,0.002710,31857,27.377
1792,0.01,6,3,17,0.088978,0.002757,31857,27.377
1792,0.01,6,3,18,0.084767,0.002565,31857,27.377
1792,0.01,6,3,19,0.093306,0.002768,31857,27.377
1792,0.01,6,3,20,0.084624,0.001916,31857,27.377
1792,0.01,6,3,21,0.082818,0.002817,31857,27.377
1792,0.01,6,3,22,0.089708,0.002719,31857,27.377
1792,0.01,6,3,23,0.083693,0.002959,31857,27.377
1792,0.01,6,3,24,0.086404,0.002627,31857,27.377
1792,0.01,6,3,25,0.084610,0.002837,31857,27.377
2048,0.01,6,3,1,0.115920,0.004275,41540,27.377
2048,0.01,6,3,2,0.110530,0.003945,41540,27.377
2048,0.01,6,3,3,0.129406,0.003859,41540,27.377
2048,0.01,6,3,4,0.118168,0.003901,41540,27.377
2048,0.01,6,3,5,0.112582,0.003969,41540,27.377
2048,0.01,6,3,6,0.111612,0.005637,41540,27.377
2048,0.01,6,3,7,0.127152,0.004175,41540,27.377
2048,0.01,6,3,8,0.114735,0.003933,41540,27.377
2048,0.01,6,3,9,0.128713,0.004068,41540,27.377
2048,0.01,6,3,10,0.114017,0.004238,41540,27.377
2048,0.01,6,3,11,0.115317,0.004019,41540,27.377
2048,0.01,6,3,12,0.123559,0.003889,41540,27.377
2048,0.01,6,3,13,0.109389,0.003942,41540,27.377
2048,0.01,6,3,14,0.110837,0.004201,41540,27.377
2048,0.01,6,3,15,0.110430,0.005500,41540,27.377
2048,0.01,6,3,16,0.111140,0.003882,41540,27.377
2048,0.01,6,3,17,0.115806,0.004243,41540,27.377
2048,0.01,6,3,18,0.115978,0.003957,41540,27.377
2048,0.01,6,3,19,0.108648,0.003597,41540,27.377
2048,0.01,6,3,20,0.116525,0.004375,41540,27.377
2048,0.01,6,3,21,0.115997,0.004675,41540,27.377
2048,0.01,6,3,22,0.106017,0.003847,41540,27.377
2048,0.01,6,3,23,0.106799,0.003995,41540,27.377
2048,0.01,6,3,24,0.117286,0.004093,41540,27.377
2048,0.01,6,3,25,0.113285,0.004230,41540,27.377
3072,0.01,6,3,1,1.014041,0.026125,93917,27.377
3072,0.01,6,3,2,1.005563,0.025687,93917,27.377
3072,0.01,6,3,3,1.027236,0.029813,93917,27.377
3072,0.01,6,3,4,1.003805,0.026284,93917,27.377
3072,0.01,6,3,5,1.002955,0.026519,93917,27.377
3072,0.01,6,3,6,0.962796,0.026178,93917,27.377
3072,0.01,6,3,7,0.987311,0.025695,93917,27.377
3072,0.01,6,3,8,0.968627,0.025860,93917,27.377
3072,0.01,6,3,9,0.983120,0.025485,93917,27.377
3072,0.01,6,3,10,0.999617,0.026725,93917,27.377
3072,0.01,6,3,11,1.078464,0.025472,93917,27.377
3072,0.01,6,3,12,1.015066,0.026209,93917,27.377
3072,0.01,6,3,13,1.003772,0.023595,93917,27.377
3072,0.01,6,3,14,1.000987,0.026059,93917,27.377
3072,0.01,6,3,15,0.987641,0.024009,93917,27.377
3072,0.01,6,3,16,0.988254,0.025089,93917,27.377
3072,0.01,6,3,17,1.025417,0.025426,93917,27.377
3072,0.01,6,3,18,1.003807,0.028106,93917,27.377
3072,0.01,6,3,19,0.988623,0.026320,93917,27.377
3072,0.01,6,3,20,1.008312,0.024518,93917,27.377
3072,0.01,6,3,21,0.987299,0.026291,93917,27.377
3072,0.01,6,3,22,1.003563,0.025235,93917,27.377
3072,0.01,6,3,23,0.962716,0.024962,93917,27.377
3072,0.01,6,3,24,0.988629,0.027060,93917,27.377
3072,0.01,6,3,25,1.030704,0.023587,93917,27.377
4096,0.01,6,3,1,2.526482,0.064455,166651,27.377
4096,0.01,6,3,2,2.585643,0.063929,166651,27.377
4096,0.01,6,3,3,2.553922,0.067728,166651,27.377
4096,0.01,6,3,4,2.431097,0.061747,166651,27.377
4096,0.01,6,3,5,2.460877,0.068406,166651,27.377
4096,0.01,6,3,6,2.425691,0.068174,166651,27.377
4096,0.01,6,3,7,2.447402,0.063785,166651,27.377
4096,0.01,6,3,8,2.553542,0.067878,166651,27.377
4096,0.01,6,3,9,2.402073,0.062747,166651,27.377
4096,0.01,6,3,10,2.499663,0.061681,166651,27.377
4096,0.01,6,3,11,2.382040,0.061899,166651,27.377
4096,0.01,6,3,12,2.460818,0.062195,166651,27.377
4096,0.01,6,3,13,2.447589,0.073323,166651,27.377
4096,0.01,6,3,14,2.441930,0.061705,166651,27.377
4096,0.01,6,3,15,2.440566,0.062441,166651,27.377
4096,0.01,6,3,16,2.463892,0.063614,166651,27.377
4096,0.01,6,3,17,2.543174,0.067875,166651,27.377
4096,0.01,6,3,18,2.445158,0.071815,166651,27.377
4096,0.01,6,3,19,2.408257,0.062461,166651,27.377
4096,0.01,6,3,20,2.394673,0.062501,166651,27.377
4096,0.01,6,3,21,2.414391,0.061729,166651,27.377
4096,0.01,6,3,22,2.424683,0.063583,166651,27.377
4096,0.01,6,3,23,2.414657,0.062655,166651,27.377
4096,0.01,6,3,24,2.450375,0.062099,166651,27.377
4096,0.01,6,3,25,2.413179,0.062125,166651,27.377
